Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BWA,,,,,,23.32317073,23.17073171,22.47351336,20.84210526,24.48244824,34.5177665,45.98017621,46.22344611,42.46090292,32.91656648,26.61336379,24.93044822,25.5095332,28.80662644,31.47261299,34.5157965,35.77629382,32.17070954,27.2310145,26.33065392,22.82939249,22.36424777,27.5284134,29.95678068,31.43774493,32.35588137,31.27121036,29.5505207,26.94625311,25.88197226,26.9776273,23.01348442,26.17335414,28.11252717,26.67991515,25.14247788,25.91849909,27.47239656,28.01585283,27.84177356,25.33981253,20.26153137,24.56792259,25.38575028,28.33510353,26.76489412,30.19829213,31.46583173,27.58975352,25.43543744,27.10328568,24.51917227,24.17917645,26.3934732,28.84966512,27.63081994,26.39405425,24.41313513,25.484374,28.45919449,28.22582124
CAF,,,,,,,,,,,,,,,,,,11.63417164,9.072392339,11.20295257,6.947743162,8.050846484,6.384706161,10.47807511,12.12773749,12.39985073,12.86463037,12.85552803,9.848492892,10.46225682,11.81272387,12.17679319,12.13599377,9.859625576,11.93501151,13.05391158,6.696014649,7.838583965,8.249939108,12.9619644,11.07229594,10.24082921,9.624946666,6.404792507,6.812138026,9.864817356,10.23421102,10.68724058,12.72838729,12.92174239,16.13642323,13.4133986,10.76960051,6.349848525,21.15590576,20.57277537,20.87763843,24.23802733,16.39798,14.38813,18.29877,15.72306,14.93227,14.59484649,15.12661217,14.78257706
CAN,,22.36229804,21.71167578,21.53880824,22.88601675,24.22292424,25.16053294,24.115857,22.53229015,22.45228304,21.86168539,22.72957793,22.43187246,22.9113433,23.63153568,24.34565116,23.97663334,23.464643,23.11348839,23.46216064,23.97463101,25.01968194,22.56859558,21.02341236,20.15970181,20.70648185,21.03659116,21.86002619,22.62870597,22.96140886,21.70464169,20.26367501,19.38530363,18.6566395,19.39424626,18.34730003,18.80676968,20.30012262,20.55493771,20.19029288,19.59933566,20.15176469,19.97488458,20.01236906,20.87458122,21.83724505,22.88474439,23.33899573,23.46896039,22.30692716,23.46115247,23.51037613,24.49428031,24.1873901,24.38930492,23.85055797,22.77235397,22.69627953,22.67606995,22.57992849,23.18420521,23.78933305,23.08270543,23.04039423,22.91015975,22.90232822
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.55447468,23.16549619,24.36937962,24.95317032,24.77485195,24.50108821,23.51076365,22.6647456,22.82801813,23.03073096,23.58410132,24.80670766,27.24209655,27.47402999,23.66721368,21.86597601,22.39606181,21.72958866,21.2342865,21.7046123,22.17920693,20.47313546,20.37324087,21.17057906,22.08935355,21.69057421,21.38944114,21.66830457,22.5234378,21.28716274,21.35808978
CHE,,,,,,,,,,,35.18744336,37.39217476,37.94369505,37.55805514,35.23099424,30.69805156,26.32283348,26.51258334,27.38454437,27.88720835,30.39720748,30.79516684,29.24992549,29.93459476,29.68003606,29.92890998,30.59620404,30.94005629,32.66689888,33.27018583,32.7237313,31.29718425,28.23555323,26.45627896,26.79659692,26.60871505,25.4833436,25.65042958,26.88995993,27.20085284,27.52920298,26.91507638,27.10071553,26.56961693,27.37095255,27.26453529,27.06799701,27.23127793,26.89785549,25.37213793,25.36827759,25.61241351,26.15402836,26.15236966,26.3235666,26.4939782,26.73411637,27.51543585,26.99993468,27.00187816,27.63339035,26.77501907,26.25619165,26.89208703,26.45017618,25.99662012
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,14.44827449,14.95619862,15.11463809,16.20668141,15.50367715,15.04595146,14.52658792,14.61010758,15.18285164,14.71686878,15.50251239,15.13532609,13.45163632,13.12919724,17.54691493,18.12699243,13.80801782,13.89648745,15.42165078,15.5303822,17.39643709,19.40764796,14.59253588,13.30975488,15.3860767,16.50727006,16.85492465,19.22103519,20.5783101,24.09216182,23.77097294,20.7492215,23.49843742,26.21888541,24.72099182,25.61946157,27.89726043,28.63484097,27.57859191,22.4124645,22.0430828,22.48808094,22.27450537,22.08962916,21.39858041,23.36879573,21.0647065,21.97984302,26.88106512,24.12031546,23.01546032,24.7203929,26.75266216,26.34868319,25.47353997,25.4703711,24.12919758,22.25766445,23.04979257,24.5476232,22.56054194,23.31217246,25.65405462,24.39753147,23.6573015,24.08696675
CHN,32.57543458,18.95127211,15.44596376,17.71950886,20.22700293,20.60435334,21.78610988,18.14524747,17.33421028,20.94527927,24.10114131,24.80688386,24.58760018,24.24595799,26.51548479,29.00209131,28.98870141,28.07846036,29.29147967,28.30487185,28.51015709,27.20883371,28.18565416,28.12319889,29.26516764,30.3746507,30.90283944,30.50455344,30.99970009,25.5610476,23.94215641,26.03337426,30.61592345,37.31075358,34.69450823,32.62805477,31.90958114,31.25023372,33.06989317,32.67504862,32.64717902,33.45988179,34.98786411,38.08468093,39.35053706,39.27032898,38.52157262,37.67098731,38.80308142,43.40976685,43.52018219,43.51539093,43.87370765,44.07554314,43.38034737,41.61667104,41.08058009,41.4184898,42.38037602,42.25034905,41.84941146,41.35212038,41.23293173,40.45443472,39.65193252,
CIV,,,,,,21.29547505,19.63433593,19.18168136,17.33921729,17.32127667,20.65622825,20.97659567,20.21025477,21.80289728,19.43166364,22.03714836,22.19030447,25.83160084,29.66120558,27.10165052,24.35462174,24.36938258,21.66411974,17.72200553,12.96537906,11.77108552,11.8174755,11.76969848,11.4848529,10.31752261,8.502141867,8.574199909,8.50242173,9.345464497,11.5492123,13.68612314,19.19350525,18.0276618,18.20578677,19.26633436,16.36206805,15.34076825,15.45886395,12.8438508,13.49333136,13.73747376,14.2436392,16.69714714,16.11778346,16.10816078,20.70317397,17.84705923,17.11227154,20.73120222,22.47607017,23.5616685,23.2965013,21.91091875,22.46655036,22.17664811,20.34476314,21.0571796,22.28952187,20.60274258,19.72198937,20.04443413
CMR,,,,,,,,,,,,,,,,16.38085955,17.15523358,39.67625687,45.11499569,40.60042758,20.02552846,24.57136558,20.59378481,21.11153717,19.38028093,17.18996846,24.79571834,24.53657747,20.7848137,18.16654893,17.33476457,16.64571014,14.30538628,14.78106734,17.17193582,17.33357065,17.51499258,18.16000905,18.56512711,17.50944651,17.49022333,19.23158532,19.51490012,18.36332315,18.8910238,18.58028377,17.85567821,18.58305078,19.8958105,18.59924321,18.52583587,18.93489064,18.19665798,18.39354376,19.436914,18.61178163,19.45761488,19.29614069,19.55004135,19.08850679,18.19229915,18.18953947,18.81642687,19.14696009,18.18190258,19.34255248
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,7.544642408,9.653606335,27.09570595,2.500000031,2.100000021,3.069010671,14.41831117,6.662787904,7.428933449,9.424783611,12.14211295,17.03808071,15.5353662,16.91645638,23.31125252,22.09726068,27.82496843,29.47187991,27.5116098,30.21450481,31.23932637,26.25397563,28.27741946,27.52911872,28.67115193,22.29934385,21.84540797,32.55839412,36.68315454,34.07555493,31.38464491,28.79028864
COG,,,,,,,,,,,,,,,33.56990901,37.40875803,29.72823411,26.01063489,23.3988885,25.96074349,35.76581576,48.16318996,59.73239437,38.43843856,30.39123631,30.28430264,29.45062753,19.72836302,18.61911988,14.50872395,17.23097113,19.65656303,20.58217414,28.94356006,52.93884116,34.30034558,31.7209356,21.59902633,24.33675333,26.58524805,20.91166848,26.26875946,22.54294741,25.48002788,21.90546992,23.42333118,25.35507741,58.68632809,39.54562085,52.82920501,38.77981189,33.86871681,38.15147808,47.06191186,54.82598071,78.00091728,77.8214899,36.66445802,26.34578193,26.11553015,23.25573046,22.13867637,20.6905597,24.90451981,26.53933987,29.08126185
COL,18.98503778,19.24582262,18.82347072,17.27629183,16.87771348,13.33818278,14.97168588,15.43122219,16.72880064,17.45041529,18.0156363,17.5140808,16.07792674,15.79865109,16.39132215,15.33640412,15.88874068,14.5302774,15.38196808,15.42079227,16.77467973,17.65446675,17.46251348,17.18478903,16.96991431,17.52892688,17.73897768,17.42026207,19.50061493,18.07051602,19.05249288,17.51471671,19.10497692,22.85074092,23.2882963,22.39616479,21.59582071,20.20562069,18.93646066,13.24785428,14.12931411,15.39953332,16.72529685,18.1097505,18.83175961,20.95615432,22.57759353,24.07737581,21.91378102,22.64670816,22.0429732,21.91582542,21.12520949,21.3383971,22.67050988,23.3747819,22.12965771,21.72279192,21.22787108,21.26910726,18.36207561,18.98973197,19.0704918,16.42408014,16.2164481,16.01012975
