Code,Year,TFP
BWA,2005,1.5863094
BWA,2006,1.660313
BWA,2007,1.6377286
BWA,2008,1.565241
BWA,2009,1.2540624
BWA,2010,1.3039645
BWA,2011,1.2552187
BWA,2012,1.1643962
BWA,2013,1.220524
BWA,2014,1.2252322
BWA,2015,1.0991769
BWA,2016,1.1103109
BWA,2017,1.0984999
BWA,2018,1.0833108
BWA,2019,1.0569918
BWA,2020,0.91825175
BWA,2021,1
BWA,2022,1.0367904
BWA,2023,1.0056193
BRA,1954,0.9520636
BRA,1955,0.9682681
BRA,1956,0.963096
BRA,1957,1.00433
BRA,1958,1.0169718
BRA,1959,1.0327799
BRA,1960,1.0576812
BRA,1961,1.1493146
BRA,1962,1.1544411
BRA,1963,1.1829337
BRA,1964,1.1847333
BRA,1965,1.2137287
BRA,1966,1.2046589
BRA,1967,1.223317
BRA,1968,1.2964331
BRA,1969,1.2927026
BRA,1970,1.3505076
BRA,1971,1.4058207
BRA,1972,1.4688947
BRA,1973,1.5080554
BRA,1974,1.5362828
BRA,1975,1.5228122
BRA,1976,1.5784055
BRA,1977,1.5162793
BRA,1978,1.5017396
BRA,1979,1.5610591
BRA,1980,1.6601924
BRA,1981,1.5033067
BRA,1982,1.4303628
BRA,1983,1.3537472
BRA,1984,1.3776122
BRA,1985,1.4081569
BRA,1986,1.4435301
BRA,1987,1.4274794
BRA,1988,1.3691803
BRA,1989,1.384128
BRA,1990,1.2844205
BRA,1991,1.2655742
BRA,1992,1.2257731
BRA,1993,1.2551069
BRA,1994,1.2862718
BRA,1995,1.2906804
BRA,1996,1.2849339
BRA,1997,1.2841008
BRA,1998,1.2561662
BRA,1999,1.2088876
BRA,2000,1.2093508
BRA,2001,1.1931081
BRA,2002,1.1849068
BRA,2003,1.1679484
BRA,2004,1.1807368
BRA,2005,1.1770005
BRA,2006,1.1768944
BRA,2007,1.211828
BRA,2008,1.2225838
BRA,2009,1.1908065
BRA,2010,1.2153322
BRA,2011,1.196606
BRA,2012,1.1798608
BRA,2013,1.1638108
BRA,2014,1.1286242
BRA,2015,1.0751386
BRA,2016,1.0378399
BRA,2017,1.0422541
BRA,2018,1.033759
BRA,2019,1.0113676
BRA,2020,1.0442489
BRA,2021,1
BRA,2022,0.96975225
BRA,2023,0.97675276
BGR,1974,2.289808
BGR,1975,2.2969909
BGR,1976,2.2680256
BGR,1977,2.2413085
BGR,1978,2.2054002
BGR,1979,2.2159665
BGR,1980,2.2017064
BGR,1981,2.1837556
BGR,1982,2.1272674
BGR,1983,2.0973973
BGR,1984,2.0797684
BGR,1985,2.050711
BGR,1986,2.0572276
BGR,1987,2.0893092
BGR,1988,2.2112226
BGR,1989,2.0660634
BGR,1990,1.9181651
BGR,1993,1.7321194
BGR,1994,1.6604084
BGR,1995,1.6038468
BGR,1996,1.7148595
BGR,1997,1.4225268
BGR,1998,1.4181992
BGR,1999,1.2248968
BGR,2000,1.2243958
BGR,2001,1.2024862
BGR,2002,1.181242
BGR,2003,1.1538699
BGR,2004,1.1302096
