Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BRB,,,,,,,,,,,,,,,,8.849873406,9.707502985,10.3285955,10.10777732,10.10902618,9.012770138,8.464970995,8.782571551,9.601769912,9.748984865,8.17989418,7.365884998,6.522753792,6.58804169,5.781908302,10.41265135,9.790846457,8.811957077,8.371084337,7.878437717,7.988338192,7.894404712,7.966169154,7.896223085,7.63011622,7.743095277,7.793419545,7.535812007,8.090045178,7.770358543,7.015316141,7.711694579,6.886124449,7.164707642,7.019127254,5.501633384,5.820347261,5.381120443,5.482029633,5.211966752,5.581706279,5.589411937,5.555970556,5.294582126,5.242599507,5.098033693,4.804224666,5.152428434,5.15157921,4.949555953,
BRN,,,,,,,,,,,,,,,0.343593771,0.38402662,0.37020855,0.327400063,0.296188976,0.262728713,0.199277475,0.234270443,0.296942569,0.302659579,0.272615259,0.281566417,0.485349057,0.366194439,0.405654884,0.422143365,0.413724624,0.503861029,0.564319231,0.47150735,0.667197372,0.697869323,0.901592813,0.992530194,1.49413767,1.850917787,2.459671449,2.29641462,2.857530438,2.496517895,2.11413731,1.672249928,1.226915035,1.104461083,0.902506209,1.222361318,1.249452716,1.22071571,1.45830407,1.145192306,1.58675847,1.617832604,1.809332654,1.76286646,2.134321327,2.327822625,6.832099065,9.678450593,11.62580714,10.37913399,10.65531559,9.93459231
BTN,,,,,,,,,,,,,,,,,,,,,2.990870438,5.904354493,5.821207213,6.65246107,6.668060967,6.153172292,5.340542705,5.913717286,5.53088157,7.759389444,8.029016207,8.855504462,9.165066141,9.215876142,9.508231658,10.75580427,11.70705453,10.22047903,9.553335402,9.055413569,7.609592117,7.818625749,6.931635704,6.679683258,6.706622659,6.594809019,7.058428398,7.560223922,7.799965193,7.577621438,7.877360417,7.428699324,7.959029223,7.501879556,7.408986194,7.311660633,6.810829598,6.909396759,8.747056654,6.131166691,4.929171062,7.224182782,8.727092291,7.851818494,6.617940858,
BWA,,,,,,11.58536585,7.859078591,8.204615988,6.736842105,5.670567057,5.87382161,5.892070485,5.90086546,5.606373562,5.962971868,6.662859318,6.754250386,6.114398422,6.391246549,5.04340018,4.40240131,6.060100167,6.789148845,5.92604114,5.043294746,5.042551687,5.544728496,5.484164267,5.114975805,4.951275841,4.770750175,4.826396512,4.876027389,4.308401383,4.875553146,5.323237407,5.614679582,5.679896114,6.218138708,5.563178689,5.626987325,5.84016042,6.057066481,5.705543083,5.554128172,4.949504722,7.102391339,8.528467094,7.681821076,8.469439529,8.499444492,7.731255714,8.073710842,7.993242275,7.848786645,7.242023885,6.503236311,6.173604206,6.147461526,6.092369912,5.659050883,5.227654821,5.385084073,5.623655334,5.579917025,5.691170407
CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.30696633,18.39649783,19.96856112,23.65146879,21.06138825,17.44322761,19.74492116,19.45417359,18.44042004,18.1315381,17.78232111,17.72702657,18.71456683,18.34177215,17.95123789,,
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23162965,16.44675707,17.36427494,17.33599262,16.37354908,16.01681845,15.01182711,14.65518726,13.7300267,12.93027414,12.21632037,10.91558221,10.36652227,10.32626833,10.27297652,10.35394084,9.924641277,9.75583225,10.31252324,10.24687305,10.00221428,10.18471387,9.608924397,9.302017672,9.529093825,9.324466954,,,
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44809536,19.48814755,19.39100106,18.81736038,18.25248192,18.19383973,17.86947175,17.43453854,17.82067861,18.58343167,18.42892794,18.58813047,18.42726623,18.08646164,17.17527334,17.77783044,18.46066828,17.91882281,17.30904846,18.45160788,18.71632185,18.78451802,18.08818467,17.67489946,17.33244178,16.63098581,16.67431713,16.48837445,16.5181627,15.45101376,14.62388219
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.49418265,19.37048164,19.06346452,18.86736979,19.21647405,18.95641257,18.74829115,18.80128566,18.54157884,18.27179938,17.74163168,18.46489802,18.86127153,18.7019408,18.66697288,18.95865222,19.28902053,19.48834971,19.64350126,18.32080233,18.31662402,18.70894807,18.34260705,18.41928689,18.25768831,17.85684236,18.24475548,18.43225577,18.5519498,19.21212275,19.0466158,20.69274354,19.92381535,19.35658394,19.06642429,18.92541812
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864740265,0.797519817,0.796882007,0.76151477,0.810238699,0.905889704,0.842954273,0.807307046,,
CHL,21.28187494,21.6320547,23.07229991,23.20114448,23.85895274,23.48633664,22.47819419,23.30414027,25.10500425,24.76930537,25.14970665,24.15992868,22.94225188,26.44159924,28.88373417,19.78199582,22.85416204,21.27649596,21.87321938,20.81729482,21.03339823,21.62060791,19.23211329,20.59844872,22.6100931,21.68195336,17.58785562,17.2334649,17.96734752,17.93610951,18.35101066,18.88371382,18.74667215,19.02139105,19.09143152,19.25142846,15.22709155,14.88053586,14.41755332,14.68310413,15.19252743,15.93677744,15.78367468,15.19375864,14.22163976,12.81919833,11.68367882,10.6421644,9.974005669,10.26115899,9.887173592,9.909053173,9.827732894,9.985032902,9.920465713,10.39886467,9.705924386,9.160845013,9.60421397,8.976742564,9.01832546,8.557846525,9.50169648,9.580466261,9.37258928,8.953519626
